+------------+--------+-------------+----------+
| tournament | player | prize_money | position |
+------------+--------+-------------+----------+
|         39 |      1 |        NULL |        8 |
|         39 |      2 |        NULL |        5 |
|         39 |      3 |        NULL |       15 |
|         39 |      4 |        NULL |       10 |
|         39 |      5 |        NULL |       14 |
|         39 |      6 |        NULL |       18 |
|         39 |      9 |        NULL |        1 |
|         39 |     11 |        NULL |       21 |
|         39 |     13 |        NULL |       24 |
|         39 |     14 |        NULL |        6 |
|         39 |     15 |        NULL |        2 |
|         39 |     16 |        NULL |        9 |
|         39 |     17 |        NULL |       29 |
|         39 |     18 |        NULL |       16 |
|         39 |     19 |        NULL |       13 |
|         39 |     21 |        NULL |       27 |
|         39 |     24 |        NULL |       28 |
|         39 |     35 |        NULL |        4 |
|         39 |     37 |        NULL |       17 |
|         39 |     44 |        NULL |       23 |
|         39 |     45 |        NULL |        7 |
|         39 |     48 |        NULL |        3 |
|         39 |     49 |        NULL |       22 |
|         39 |     54 |        NULL |       12 |
|         39 |     56 |        NULL |       11 |
|         39 |     63 |        NULL |       31 |
|         39 |     80 |        NULL |       19 |
|         39 |    105 |        NULL |       30 |
|         39 |    110 |        NULL |       26 |
|         39 |    175 |        NULL |       25 |
|         57 |      3 |        NULL |       10 |
|         57 |      4 |        NULL |       14 |
|         57 |      5 |        NULL |        8 |
|         57 |      6 |        NULL |       25 |
|         57 |      7 |        NULL |       50 |
|         57 |     11 |        NULL |       31 |
|         57 |     12 |        NULL |       32 |
|         57 |     13 |        NULL |        9 |
|         57 |     16 |        NULL |        1 |
|         57 |     17 |        NULL |       37 |
|         57 |     18 |        NULL |       23 |
|         57 |     19 |        NULL |        7 |
|         57 |     20 |        NULL |       22 |
|         57 |     21 |        NULL |       56 |
|         57 |     22 |        NULL |       33 |
|         57 |     24 |        NULL |       12 |
|         57 |     28 |        NULL |       63 |
|         57 |     29 |        NULL |       49 |
|         57 |     31 |        NULL |       29 |
|         57 |     32 |        NULL |       51 |
|         57 |     36 |        NULL |       28 |
