+----------+------------+------------+---------+---------+--------+--------+---------+
| match_id | date       | tournament | playerA | playerB | scoreA | scoreB | offline |
+----------+------------+------------+---------+---------+--------+--------+---------+
|        1 | 2012-12-04 |        799 |       4 |      55 |      1 |      3 | 0       |
|        2 | 2012-12-03 |      11921 |       2 |      41 |      2 |      0 | 0       |
|        3 | 2012-12-03 |      11921 |      21 |      41 |      0 |      2 | 0       |
|        4 | 2012-12-03 |      11921 |       3 |       2 |      2 |      1 | 0       |
|        5 | 2012-12-03 |      11921 |      41 |       2 |      1 |      2 | 0       |
|        6 | 2012-12-03 |      11921 |      21 |       3 |      1 |      2 | 0       |
|        7 | 2012-12-03 |      11924 |       1 |       8 |      2 |      1 | 1       |
|        8 | 2012-12-03 |      11924 |       1 |       8 |      2 |      3 | 1       |
|        9 | 2012-12-03 |      11924 |       8 |      19 |      3 |      2 | 1       |
|       10 | 2012-12-03 |      11924 |      19 |      12 |      2 |      1 | 1       |
|       11 | 2012-12-03 |      11924 |       1 |       8 |      3 |      1 | 1       |
|       12 | 2012-12-03 |      11902 |      36 |      10 |      0 |      1 | 1       |
|       13 | 2012-12-03 |      11902 |       3 |      10 |      0 |      1 | 1       |
|       14 | 2012-12-03 |      11902 |       3 |      26 |      1 |      0 | 1       |
|       15 | 2012-12-03 |      11902 |       3 |      52 |      1 |      0 | 1       |
|       16 | 2012-12-03 |      11902 |       3 |      23 |      1 |      0 | 1       |
|       17 | 2012-12-03 |      11902 |       3 |      50 |      1 |      0 | 1       |
|       18 | 2012-12-02 |       3248 |     267 |      97 |      0 |      3 | 0       |
|       19 | 2012-12-02 |       3248 |     590 |     267 |      0 |      2 | 0       |
|       20 | 2012-12-02 |       3248 |     184 |      97 |      1 |      2 | 0       |
|       24 | 2012-12-02 |       3248 |     152 |     590 |      1 |      2 | 0       |
|       25 | 2012-12-02 |       1909 |     145 |     102 |      2 |      0 | 1       |
|       26 | 2012-12-02 |       1909 |       5 |     187 |      2 |      0 | 1       |
|       27 | 2012-12-02 |       3197 |      90 |     585 |      1 |      3 | 0       |
|       28 | 2012-12-02 |         39 |      15 |       9 |      3 |      4 | 1       |
|       29 | 2012-12-02 |      11902 |      17 |      10 |      1 |      0 | 1       |
|       30 | 2012-12-02 |      11902 |       4 |      10 |      0 |      1 | 1       |
|       31 | 2012-12-02 |      11902 |      21 |      10 |      0 |      1 | 1       |
|       32 | 2012-12-02 |      11902 |      36 |      10 |      0 |      1 | 1       |
|       33 | 2012-12-02 |      11902 |       3 |      89 |      1 |      0 | 1       |
|       34 | 2012-12-02 |      11902 |      17 |      26 |      1 |      0 | 1       |
|       35 | 2012-12-02 |      11902 |       4 |      23 |      0 |      1 | 1       |
|       36 | 2012-12-02 |      11902 |      21 |      50 |      1 |      0 | 1       |
|       37 | 2012-12-01 |      11924 |      18 |      12 |      0 |      2 | 1       |
|       38 | 2012-12-01 |      11924 |      19 |       9 |      2 |      0 | 1       |
|       39 | 2012-12-01 |      11924 |       9 |      61 |      2 |      0 | 1       |
|       40 | 2012-12-01 |      11924 |       4 |      12 |      1 |      2 | 1       |
|       41 | 2012-12-01 |      11924 |       2 |      12 |      1 |      2 | 1       |
|       42 | 2012-12-01 |      11924 |      38 |       4 |      0 |      2 | 1       |
|       43 | 2012-12-01 |      11924 |      61 |      59 |      2 |      1 | 1       |
|       44 | 2012-12-01 |      11924 |      11 |       9 |      0 |      2 | 1       |
