+--------+------+------------+------------+
| player | team | start_date | end_date   |
+--------+------+------------+------------+
|      1 |   88 | 2011-02-23 | 2011-07-18 |
|      1 |    4 | 2011-07-18 | NULL       |
|      2 |    3 | 2011-01-12 | NULL       |
|      3 |   65 | 2010-10-19 | 2012-07-13 |
|      3 |    1 | 2012-07-13 | NULL       |
|      4 |    7 | 2011-02-20 | NULL       |
|      5 |   88 | 2010-10-29 | 2011-07-18 |
|      5 |    1 | 2012-10-21 | 2013-01-03 |
|      5 |   12 | 2013-01-14 | NULL       |
|      6 |   65 | 2011-03-01 | 2011-05-01 |
|      6 |   47 | 2011-05-01 | 2012-03-13 |
|      6 |   18 | 2012-03-29 | NULL       |
|      7 |   12 | 2000-08-24 | NULL       |
|      8 |    7 | 2011-07-02 | 2011-09-07 |
|      8 |   30 | 2012-01-21 | 2012-07-02 |
|      8 |   17 | 2012-08-01 | 2013-07-31 |
|      9 |    7 | 2011-03-28 | NULL       |
|     10 |   19 | 2010-10-07 | 2012-08-31 |
|     10 |   40 | 2012-09-10 | 2013-08-06 |
|     11 |   81 | 2010-05-23 | 2011-08-10 |
|     11 |   18 | 2011-08-10 | NULL       |
|     12 |    1 | 2010-09-16 | NULL       |
|     13 |    2 | 2010-11-14 | NULL       |
|     14 |    3 | 2010-12-22 | NULL       |
|     15 |   16 | 2011-11-28 | 2013-01-03 |
|     15 |   64 | 2013-02-02 | NULL       |
|     16 |    1 | 2011-01-02 | NULL       |
|     17 |    1 | 2011-01-18 | 2013-01-14 |
|     17 |    2 | 2013-02-25 | NULL       |
|     18 |   16 | 2010-12-02 | 2013-01-03 |
|     18 |   17 | 2013-01-30 | NULL       |
|     19 |    3 | 2010-12-23 | 2011-09-14 |
|     19 |   16 | 2011-09-23 | 2012-12-22 |
|     20 |    2 | 2011-02-26 | NULL       |
|     21 |    2 | 2010-12-31 | 2013-05-22 |
|     21 |    4 | 2013-05-22 | NULL       |
|     22 |    2 | 2010-10-06 | NULL       |
|     23 |   91 | 2012-04-16 | 2012-05-12 |
|     23 |   26 | 2012-06-21 | NULL       |
|     24 |    7 | 2011-04-12 | NULL       |
|     25 |   65 | 2010-11-25 | 2011-08-17 |
|     25 |   47 | 2011-08-17 | 2012-11-03 |
|     25 |   14 | 2013-07-10 | NULL       |
|     26 |   30 | 2011-04-03 | 2011-07-19 |
|     26 |   26 | 2011-07-19 | NULL       |
|     27 |   34 | 2010-09-01 | 2011-08-14 |
|     27 |   43 | 2011-08-14 | NULL       |
|     28 |   47 | 2011-02-13 | 2012-11-03 |
|     28 |   26 | 2012-11-21 | NULL       |
|     29 |    8 | 2011-04-28 | 2013-07-31 |
|     29 |  135 | 2013-08-01 | NULL       |
|     30 |    7 | 2011-06-24 | 2013-07-31 |
|     31 |    2 | 2011-01-25 | NULL       |
|     32 |   81 | 2010-08-16 | 2012-05-15 |
|     32 |   25 | 2012-07-27 | 2012-12-26 |
|     32 |   17 | 2013-01-30 | NULL       |
|     33 |   65 | 2011-03-05 | 2011-08-30 |
|     33 |   47 | 2011-08-30 | 2012-11-03 |
|     33 |   10 | 2013-04-26 | NULL       |
|     34 |   81 | 2011-09-30 | 2012-05-15 |
|     34 |   19 | 2012-06-27 | NULL       |
|     35 |   35 | 2011-01-01 | NULL       |
|     35 |   47 | 2011-01-29 | 2012-11-03 |
|     36 |   81 | 2010-08-08 | 2012-01-13 |
|     36 |   23 | 2012-01-13 | NULL       |
|     37 |    7 | 2011-08-26 | NULL       |
|     38 |   81 | 2010-05-12 | 2012-05-15 |
|     38 |   64 | 2012-06-06 | 2012-12-04 |
|     38 |   38 | 2013-01-17 | NULL       |
|     39 |    2 | 2010-10-02 | NULL       |
|     41 |   30 | 2010-02-14 | NULL       |
|     42 |   16 | 2010-11-20 | 2012-01-18 |
|     42 |   38 | 2012-02-17 | 2013-01-10 |
|     42 |   35 | 2013-01-15 | NULL       |
|     43 |    7 | 2011-03-03 | 2012-06-13 |
|     43 |   47 | 2012-07-26 | 2012-11-03 |
|     43 |   17 | 2012-12-27 | 2013-08-30 |
|     44 |   88 | 2010-10-18 | 2011-07-18 |
|     44 |    4 | 2011-07-18 | NULL       |
|     45 |   15 | 2000-07-30 | NULL       |
|     46 |   16 | 2010-12-20 | 2011-11-28 |
|     46 |   40 | 2011-12-30 | NULL       |
|     47 |   65 | 2010-10-27 | 2011-10-08 |
|     47 |    3 | 2011-10-08 | NULL       |
|     48 |   13 | 2000-07-06 | 2013-09-01 |
|     48 |   26 | 2013-09-01 | NULL       |
|     49 |    3 | 2010-11-05 | NULL       |
|     50 |   34 | 2010-08-12 | 2011-02-25 |
|     50 |  127 | 2011-03-17 | 2011-11-25 |
|     50 |   29 | 2012-01-01 | 2013-05-30 |
|     50 |   22 | 2013-05-30 | NULL       |
|     51 |    8 | 2011-04-24 | 2012-09-09 |
|     51 |   17 | 2012-12-27 | 2013-08-30 |
|     52 |   29 | 2012-01-01 | 2013-05-30 |
|     52 |   22 | 2013-05-30 | NULL       |
|     53 |   31 | 2011-02-17 | NULL       |
|     54 |    2 | 2010-10-25 | NULL       |
|     55 |   10 | 2000-05-22 | NULL       |
|     56 |   65 | 2010-11-09 | 2011-10-07 |
|     56 |    1 | 2011-10-07 | NULL       |
|     57 |   47 | 2011-02-15 | 2012-03-13 |
|     57 |   38 | 2012-03-27 | 2012-12-10 |
|     57 |   17 | 2013-01-30 | 2013-08-07 |
|     58 |   22 | 2010-03-24 | NULL       |
|     59 |    3 | 2010-10-16 | 2012-10-22 |
|     59 |   17 | 2013-01-30 | NULL       |
|     60 |   31 | 2011-01-23 | NULL       |
|     61 |   47 | 2011-03-07 | 2011-10-30 |
|     61 |   79 | 2012-01-27 | 2012-07-14 |
|     61 |   17 | 2012-12-27 | NULL       |
|     62 |   88 | 2010-11-23 | 2011-07-18 |
|     62 |   16 | 2011-07-18 | 2013-01-03 |
|     62 |    7 | 2013-01-12 | NULL       |
|     63 |   14 | 2000-09-12 | 2013-09-16 |
|     63 |   10 | 2013-09-16 | NULL       |
|     64 |    8 | 2011-03-03 | 2012-08-05 |
|     64 |   20 | 2012-11-17 | NULL       |
|     65 |    1 | 2010-11-18 | NULL       |
|     66 |    8 | 2011-03-24 | 2012-08-10 |
|     66 |   97 | 2012-08-10 | 2012-11-16 |
|     66 |   39 | 2013-02-01 | NULL       |
|     67 |   88 | 2010-10-22 | 2011-07-18 |
|     67 |    4 | 2011-07-18 | NULL       |
|     68 |    4 | 2011-12-24 | NULL       |
|     69 |   81 | 2010-07-23 | 2012-05-15 |
|     69 |   30 | 2012-05-18 | 2012-09-08 |
|     69 |  112 | 2012-10-06 | 2012-10-25 |
|     69 |   17 | 2012-12-27 | NULL       |
|     70 |  113 | 2010-06-20 | 2011-08-22 |
|     70 |   34 | 2012-01-17 | 2012-11-12 |
|     71 |   88 | 2011-01-06 | 2011-07-18 |
|     71 |    4 | 2011-07-18 | 2011-11-05 |
|     71 |   77 | 2011-11-05 | 2012-02-17 |
|     71 |   16 | 2012-02-20 | 2012-11-23 |
|     72 |   75 | 2005-03-24 | 2010-06-05 |
|     72 |   30 | 2010-06-05 | 2010-12-20 |
|     72 |   27 | 2010-12-23 | 2011-01-10 |
|     72 |  100 | 2011-11-30 | 2012-02-11 |
|     72 |   26 | 2012-02-11 | NULL       |
|     73 |   14 | 2000-07-21 | 2012-12-06 |
|     73 |   40 | 2012-12-06 | NULL       |
|     74 |   88 | 2010-11-11 | 2011-07-18 |
|     74 |    4 | 2011-07-18 | 2011-09-09 |
|     74 |    7 | 2011-09-09 | 2012-10-24 |
|     74 |    4 | 2013-03-13 | NULL       |
|     75 |   20 | 2010-10-04 | 2013-06-27 |
|     75 |  147 | 2013-06-27 | NULL       |
|     76 |   47 | 2012-03-25 | 2012-11-03 |
|     76 |   12 | 2012-11-11 | NULL       |
|     77 |   47 | 2011-04-11 | 2012-11-03 |
|     77 |   12 | 2013-02-04 | NULL       |
|     78 |   28 | 2012-10-20 | NULL       |
|     79 |   11 | 2011-04-21 | 2012-03-19 |
|     79 |   34 | 2012-03-19 | 2012-11-13 |
