+---------------+-----------------------------------------------------------------------------------+--------+-------+
| tournament_id | name                                                                              | region | major |
+---------------+-----------------------------------------------------------------------------------+--------+-------+
|            39 | GSL 2012 Season 5 Code S                                                          | NULL   | 1     |
|            57 | GSL 2012 Season 5 Code A                                                          | NULL   | 0     |
|            61 | GSL 2012 Season 5 Up & Down                                                       | NULL   | 0     |
|            67 | GSL 2013 Season 1 Up & Down                                                       | NULL   | 0     |
|            74 | GSL 2013 Season 1 Code A                                                          | NULL   | 0     |
|            75 | GSL 2013 Season 1 Code S                                                          | NULL   | 1     |
|            77 | GSL 2012 Season 4 Up & Down                                                       | NULL   | 0     |
|            78 | GSL 2012 Season 4 Code A                                                          | NULL   | 0     |
|            79 | GSL 2012 Season 4 Code S                                                          | NULL   | 1     |
|           128 | GSL 2012 Season 3 Up & Down                                                       | NULL   | 0     |
|           129 | GSL 2012 Season 3 Code A                                                          | NULL   | 0     |
|           130 | GSL 2012 Season 3 Code S                                                          | NULL   | 1     |
|           157 | GSL 2012 Season 2 Up & Down                                                       | NULL   | 0     |
|           163 | GSL 2012 Season 2 Code A                                                          | NULL   | 0     |
|           167 | GSL 2012 Season 2 Code S                                                          | NULL   | 1     |
|           186 | GSL 2012 Season 1 Up & Down                                                       | NULL   | 0     |
|           192 | GSL 2012 Season 1 Code A                                                          | NULL   | 0     |
|           196 | GSL 2012 Season 1 Code S                                                          | NULL   | 1     |
|           215 | GSL 2011 Season 7 Code A                                                          | NULL   | 0     |
|           219 | GSL 2011 Season 7 Code S                                                          | NULL   | 1     |
|           238 | GSL 2011 Season 6 Up & Down                                                       | NULL   | 0     |
|           242 | GSL 2011 Season 6 Code A                                                          | NULL   | 0     |
|           248 | GSL 2011 Season 6 Code S                                                          | NULL   | 1     |
|           263 | GSL 2011 Season 5 Up & Down                                                       | NULL   | 0     |
|           267 | GSL 2011 Season 5 Code A                                                          | NULL   | 0     |
|           273 | GSL 2011 Season 5 Code S                                                          | NULL   | 1     |
|           288 | GSL 2011 Season 4 Up & Down                                                       | NULL   | 0     |
|           292 | GSL 2011 Season 4 Code A                                                          | NULL   | 0     |
|           298 | GSL 2011 Season 4 Code S                                                          | NULL   | 1     |
|           313 | GSL 2011 Season 3 Up & Down                                                       | NULL   | 0     |
|           322 | GSL 2011 Season 3 Code A                                                          | NULL   | 0     |
|           328 | GSL 2011 Season 3 Code S                                                          | NULL   | 1     |
|           343 | GSL 2011 Season 2 Code S Wildcard                                                 | NULL   | 0     |
|           344 | GSL 2011 Season 2 Up & Down                                                       | NULL   | 0     |
|           353 | GSL 2011 Season 2 Code A                                                          | NULL   | 0     |
|           359 | GSL 2011 Season 2 Code S                                                          | NULL   | 1     |
|           374 | GSL 2011 Season 1 Up & Down                                                       | NULL   | 0     |
|           383 | GSL 2011 Season 1 Code A                                                          | NULL   | 0     |
|           389 | GSL 2011 Season 1 Code S                                                          | NULL   | 1     |
|           407 | GSL 2011 Season 5 Preliminaries                                                   | NULL   | 0     |
|           409 | GSL 2011 Season 6 Preliminaries                                                   | NULL   | 0     |
|           422 | GSL 2011 Season 7 Preliminaries                                                   | NULL   | 0     |
|           423 | GSL 2012 Season 1 Preliminaries                                                   | NULL   | 0     |
|           424 | GSL 2012 Season 2 Preliminaries                                                   | NULL   | 0     |
|           504 | IPTL 2013 Season 1                                                                | NULL   | 1     |
|           535 | GSTL 2012 Season 3                                                                | NULL   | 0     |
|           584 | HomeStory Cup VI Qualifiers                                                       | NULL   | 0     |
|           597 | ZOTAC Cup Europe #139                                                             | NULL   | 0     |
|           607 | go4sc2 Cup Europe #259                                                            | NULL   | 0     |
|           627 | HomeStory Cup V Qualifiers                                                        | NULL   | 0     |
|           652 | HomeStory Cup IV Qualifiers                                                       | NULL   | 0     |
|           662 | HomeStory Cup III                                                                 | NULL   | 0     |
|           676 | GSL 2012 Season 3 Preliminaries                                                   | NULL   | 0     |
|           700 | GSL 2012 Season 4 Preliminaries                                                   | NULL   | 0     |
|           724 | HomeStory Cup II                                                                  | NULL   | 0     |
|           728 | GSL 2012 Season 5 Preliminaries                                                   | NULL   | 0     |
|           753 | HomeStory Cup I                                                                   | NULL   | 0     |
|           758 | GSL Open Season 1                                                                 | NULL   | 0     |
|           759 | GSL Open Season 2                                                                 | NULL   | 0     |
|           760 | GSL Open Season 3                                                                 | NULL   | 0     |
|           789 | MLG Pro Circuit 2010 Raleigh                                                      | NULL   | 0     |
|           790 | MLG Pro Circuit 2010 Washington D.C.                                              | NULL   | 0     |
|           791 | MLG Pro Circuit 2010 Dallas                                                       | NULL   | 0     |
|           793 | MLG Pro Circuit 2011 Dallas                                                       | NULL   | 1     |
|           794 | MLG Pro Circuit 2011 Columbus                                                     | NULL   | 1     |
|           795 | MLG Pro Circuit 2011 Anaheim                                                      | NULL   | 1     |
|           796 | MLG Pro Circuit 2011 Raleigh                                                      | NULL   | 0     |
|           797 | MLG Pro Circuit 2011 Providence                                                   | NULL   | 0     |
|           799 | MLG Pro Circuit 2012 Tournament of Champions                                      | NULL   | 0     |
|           804 | GSL Arena of Legends                                                              | NULL   | 0     |
|           812 | GSL Team Ace Invitational                                                         | NULL   | 0     |
|           821 | GSL King of Kongs                                                                 | NULL   | 0     |
|           836 | Proleague 2011-2012 Hybrid Season 2                                               | NULL   | 1     |
|           854 | GSL Super Tournament                                                              | NULL   | 0     |
|           942 | GSL Blizzard Cup 2011                                                             | NULL   | 1     |
|           943 | GSL Blizzard Cup 2012                                                             | NULL   | 1     |
|           966 | GSL World Championship 2011 Preliminaries                                         | NULL   | 0     |
|           981 | GSL World Championship 2011 Korea vs. The World                                   | NULL   | 0     |
|           987 | GSL World Championship 2012 Qualifiers                                            | NULL   | 0     |
|          1001 | GSL All-Stars Invitational                                                        | NULL   | 0     |
|          1015 | GSTL 2012 Season 2                                                                | NULL   | 0     |
|          1041 | GSTL 2012 Season 1                                                                | NULL   | 0     |
|          1080 | GSTL 2011 Season 1                                                                | NULL   | 1     |
|          1146 | NEO Star League 2012 Season 2                                                     | NULL   | 1     |
|          1167 | NEO Star League 2012 Season 1                                                     | NULL   | 1     |
|          1177 | GSTL 2011 May                                                                     | NULL   | 0     |
|          1188 | GSTL 2011 March                                                                   | NULL   | 0     |
|          1201 | GSTL 2011 February                                                                | NULL   | 0     |
|          1213 | TSL Season 3                                                                      | NULL   | 0     |
|          1256 | IPTL 2012 Season 1                                                                | NULL   | 1     |
|          1366 | NASL Season 4 Main Bracket                                                        | NULL   | 0     |
|          1372 | NASL Season 4 Wildcards                                                           | NULL   | 0     |
|          1416 | IPL Season 5 Amateur Championship                                                 | NULL   | 0     |
|          1417 | IPL Season 6 Qualifiers America Regional                                          | NULL   | 0     |
|          1418 | IPL Season 6 Qualifiers America Satellite                                         | NULL   | 0     |
|          1419 | IPL Season 6 Qualifiers Europe Regional                                           | NULL   | 0     |
|          1420 | IPL Season 6 Qualifiers Europe Satellite                                          | NULL   | 0     |
|          1421 | IPL Season 6 Qualifiers Korea Regional                                            | NULL   | 0     |
|          1422 | IPL Season 6 Qualifiers Korea Satellite                                           | NULL   | 0     |
|          1423 | IPL Season 6 Qualifiers International Regional 1                                  | NULL   | 0     |
|          1424 | IPL Season 6 Qualifiers International Regional 2                                  | NULL   | 0     |
|          1425 | IPL Season 6 Qualifiers International Satellite                                   | NULL   | 0     |
|          1434 | NASL Season 4 Division 1                                                          | NULL   | 0     |
|          1448 | NASL Season 4 Division 2                                                          | NULL   | 0     |
|          1490 | NASL Season 4 Division 3                                                          | NULL   | 0     |
|          1522 | NASL Season 4 Division 4                                                          | NULL   | 0     |
|          1543 | NASL Season 4 Division 5                                                          | NULL   | 0     |
|          1570 | IPL Season 6 Qualifiers Amateur Regional                                          | NULL   | 0     |
|          1572 | IPL Season 5 America Regional                                                     | NULL   | 0     |
|          1573 | IPL Season 5 America Satellite 1                                                  | NULL   | 0     |
|          1574 | IPL Season 5 America Satellite 2                                                  | NULL   | 0     |
|          1575 | IPL Season 5 Europe Regional                                                      | NULL   | 0     |
|          1576 | IPL Season 5 Europe Satellite 1                                                   | NULL   | 0     |
|          1577 | IPL Season 5 Europe Satellite 2                                                   | NULL   | 0     |
|          1578 | IPL Season 5 Korea Regional                                                       | NULL   | 0     |
|          1579 | IPL Season 5 China Regional                                                       | NULL   | 0     |
|          1580 | IPL Season 5 Asia Satellite 1                                                     | NULL   | 0     |
|          1581 | IEM Season VI World Championship                                                  | NULL   | 0     |
|          1598 | NASL Season 4 Open Tournament                                                     | NULL   | 0     |
|          1646 | IEM Season V World Championship                                                   | NULL   | 0     |
|          1658 | Dreamhack 2012 Stockholm                                                          | NULL   | 0     |
|          1682 | Dreamhack 2012 Summer                                                             | NULL   | 1     |
|          1683 | NASL Season 4 Qualifiers 1                                                        | NULL   | 0     |
|          1685 | NASL Season 4 Qualifiers 2                                                        | NULL   | 0     |
|          1686 | NASL Season 4 Qualifiers 3                                                        | NULL   | 0     |
|          1687 | NASL Season 4 Qualifiers 4                                                        | NULL   | 0     |
